Location,population,pop_density,top_density,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,high_risk_fraction,Black or African American alone,Hispanic or Latino,Asian alone,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander alone,Two or more races,White alone,enplanement_ratio
AK,731545,0.494971762,66.10,0.27,0.09,0.13,0.26,0.13,0.12,0.327615803,0.0372,0.0705,0.0646,0.1508,0.0137,0.0725,0.5906,7.054360292
AL,4903185,37.38009926,228.78,0.24,0.09,0.12,0.25,0.14,0.17,0.431280363,0.2664,0.0437,0.0149,0.007,0.001,0.0169,0.6501,0.524315725
AR,3017804,22.39208732,194.51,0.25,0.09,0.12,0.25,0.13,0.17,0.435388244,0.1556,0.0763,0.0168,0.0099,0.004,0.0218,0.7156,0.641304074
AZ,7278717,24.74012175,160.19,0.24,0.09,0.12,0.24,0.12,0.18,0.391042208,0.0494,0.3059,0.0358,0.0513,0.0029,0.0281,0.5266,3.427919921
CA,39512223,97.93197692,6632.91,0.24,0.09,0.14,0.26,0.12,0.14,0.333091875,0.0626,0.3782,0.1473,0.0154,0.0048,0.0375,0.3542,2.986974841
CO,5758736,21.45331948,1514.52,0.24,0.09,0.14,0.26,0.13,0.14,0.31277473,0.0448,0.2115,0.0341,0.0156,0.0019,0.0302,0.6618,5.797007885
CT,3565287,284.2678201,566.48,0.22,0.08,0.11,0.27,0.15,0.17,0.359884587,0.1165,0.1602,0.0476,0.0058,0.001,0.0233,0.6456,0.930803888
DC,705749,4466.765823,4466.77,0.2,0.1,0.21,0.27,0.1,0.12,0.31797541,0.4518,0.11,0.0428,0.0058,0.001,0.0273,0.3612,nan
DE,973764,192.9391718,487.72,0.22,0.08,0.12,0.25,0.14,0.19,0.412723275,0.227,0.0938,0,0.0405,0.001,0.0267,0.6111,0.001172769
FL,21477737,154.6418095,1292.48,0.21,0.08,0.12,0.25,0.14,0.21,0.420695923,0.1652,0.2551,0.0293,0.0049,0.001,0.0215,0.523,4.245302892
GA,10617423,71.27748575,998.35,0.26,0.09,0.12,0.27,0.12,0.14,0.361818156,0.3186,0.0964,0.0423,0.0049,0.001,0.0216,0.5152,5.060759659
HI,1415872,85.11403667,612.63,0.23,0.07,0.12,0.25,0.13,0.19,0.390715448,0.0206,0.1001,0.3517,0.0037,0.0954,0.2245,0.2039,12.60031415
IA,3155070,21.80888788,289.77,0.25,0.09,0.12,0.24,0.13,0.17,0.369017935,0.038,0.0589,0.0257,0.0475,0.001,0.0181,0.8108,0.660406267
ID,1787065,8.349015394,143.92,0.27,0.09,0.12,0.24,0.12,0.16,0.36224869,0.0823,0.1161,0.0146,0.0155,0.0018,0.0229,0.7468,1.317309107
IL,12671821,88.12543726,2121.67,0.24,0.09,0.12,0.26,0.13,0.15,0.361866994,0.1364,0.1626,0.0551,0.0561,0.0009,0.0187,0.5701,4.095681828
IN,6732219,72.55406352,880.15,0.25,0.09,0.12,0.25,0.13,0.16,0.398825327,0.0938,0.0679,0.0239,0.0383,0.001,0.0201,0.755,0.836575132
KS,2913314,13.75801166,443.85,0.26,0.09,0.12,0.24,0.13,0.16,0.379892178,0.0602,0.1194,0.0306,0.0118,0.001,0.0296,0.7473,0.327412699
KY,4467673,43.68550587,752.17,0.24,0.09,0.12,0.26,0.14,0.16,0.435626703,0.0814,0.0368,0.0155,0.0291,0.001,0.0194,0.8169,1.533696177
LA,4648794,41.54492484,783.56,0.25,0.09,0.12,0.25,0.13,0.15,0.420694972,0.3241,0.0515,0.0178,0.0079,0.001,0.0168,0.5808,1.677368797
MA,6892503,341.1792397,4794.15,0.21,0.09,0.13,0.26,0.14,0.17,0.345512902,0.0866,0.1196,0.0691,0.0049,0.001,0.0243,0.6946,2.947666617
MD,6045680,240.4613794,2961.99,0.23,0.08,0.12,0.27,0.14,0.15,0.371006666,0.3026,0.1019,0.0656,0.0059,0.001,0.0284,0.4946,2.226950649
ME,1344212,16.82725987,130.21,0.19,0.07,0.11,0.26,0.16,0.21,0.425481839,0.0161,0.0171,0.0121,0,0,0.0181,0.9366,1.072856067
MI,9986857,68.19993171,1148.43,0.23,0.09,0.12,0.25,0.14,0.17,0.412031435,0.1399,0.0516,0.0337,0.0069,0,0.0248,0.7431,2.039264005
MN,5639632,27.34605687,1290.21,0.24,0.08,0.13,0.25,0.14,0.16,0.339157048,0.0674,0.0545,0.0505,0.0139,0.001,0.0248,0.7879,3.332891224
MO,6137428,34.47218603,1991.31,0.24,0.09,0.12,0.25,0.14,0.17,0.405291994,0.1173,0.0427,0.0209,0.006,0.002,0.0229,0.7883,2.30469164
MS,2976149,24.48880533,130.76,0.26,0.09,0.11,0.25,0.13,0.16,0.425232557,0.375,0.0337,0.0109,0.006,0.001,0.0129,0.5605,0.317197492
MT,1068778,2.835240687,21.70,0.23,0.08,0.11,0.24,0.15,0.19,0.390343022,0.0059,0.0396,0.0089,0.0654,0.001,0.0278,0.8513,2.053083989
NC,10488084,83.29164549,677.82,0.24,0.08,0.12,0.26,0.13,0.16,0.390311644,0.2181,0.0943,0.0314,0.0157,0.001,0.0226,0.6169,2.979195342
ND,762062,4.26421429,32.76,0.24,0.11,0.14,0.23,0.13,0.15,0.34620524,0.0337,0.0387,0.0178,0.0545,0.001,0.0218,0.8325,1.438256992
NE,1934408,9.721913416,607.87,0.26,0.09,0.12,0.25,0.13,0.16,0.366088347,0.0502,0.1103,0.0266,0.0148,0.001,0.0227,0.7744,1.402049102
NH,1359711,58.64109199,176.59,0.2,0.08,0.11,0.26,0.16,0.18,0.404994713,0.0169,0.0388,0.0299,0,0,0.0179,0.8964,0.746465242
NJ,8882190,466.3301307,5301.80,0.23,0.08,0.11,0.27,0.14,0.16,0.346242705,0.1323,0.1817,0.0882,0.0053,0.0882,0.0203,0.4841,2.679362072
NM,2096829,6.674377151,220.37,0.24,0.09,0.12,0.24,0.13,0.18,0.393504406,0.021,0.3956,0.0145,0.0878,0.1612,0.021,0.299,1.364461766
NV,3080156,10.83295584,147.53,0.24,0.08,0.13,0.27,0.13,0.16,0.361263247,0.0976,0.2802,0.0841,0.0164,0.0077,0.0435,0.4705,8.484055028
NY,19453561,159.3809532,26821.91,0.22,0.09,0.13,0.26,0.14,0.16,0.369302526,0.1533,0.1672,0.0784,0.0087,0.0871,0.0226,0.4826,2.807452836
OH,11689100,110.4527114,1081.07,0.23,0.09,0.12,0.25,0.14,0.17,0.39770089,0.129,0.0387,0.0248,0.003,0.001,0.0228,0.7808,0.881978082
OK,3956971,22.27271755,408.55,0.26,0.09,0.13,0.24,0.13,0.16,0.408361861,0.0765,0.1069,0.0225,0.0912,0.002,0.0608,0.6402,0.923709069
OR,4217737,16.96541141,658.28,0.22,0.08,0.13,0.26,0.13,0.18,0.398271703,0.0216,0.1306,0.0472,0.0177,0.0049,0.0383,0.7397,2.682536393
PA,12801989,110.4733999,4393.65,0.22,0.08,0.12,0.25,0.14,0.18,0.397828706,0.1178,0.0746,0.0363,0,0.0039,0.0206,0.7468,1.694064883
RI,1059361,395.5791636,796.91,0.2,0.09,0.13,0.26,0.15,0.17,0.383008751,0.0879,0.1663,0.0377,0.0115,0.0021,0.0293,0.7531,2.03192113
SC,5148714,66.1303929,221.90,0.23,0.09,0.11,0.25,0.14,0.18,0.414200447,0.2686,0.0575,0.0178,0.005,0.001,0.0188,0.6313,1.016018175
SD,884659,4.505520754,81.06,0.26,0.09,0.11,0.24,0.14,0.16,0.353306298,0.0237,0.0406,0.0168,0.089,0.001,0.0237,0.8051,1.022557844
TN,6829174,63.94477425,480.05,0.24,0.09,0.12,0.26,0.13,0.16,0.415592273,0.1137,0.0372,0.0126,0.3324,0.0007,0.0133,0.49,1.759389349
TX,28995881,42.85610128,1049.43,0.27,0.09,0.13,0.26,0.11,0.13,0.347537946,0.1252,0.3875,0.0509,0.0098,0.001,0.0196,0.4061,2.982272172
UT,3205958,15.06431787,535.58,0.31,0.11,0.13,0.24,0.1,0.11,0.300212755,0.0139,0.1414,0.0269,0.0149,0,0.0259,0.7769,3.912770223
VA,8535519,83.45328953,3596.27,0.24,0.09,0.12,0.26,0.13,0.16,0.358670181,0.1959,0.0945,0.0679,0.0049,0.001,0.0305,0.6053,3.26707175
VT,623989,26.14004441,112.64,0.19,0.08,0.11,0.25,0.16,0.2,0.391129575,0.014,0.0199,0.0199,0.004,0,0.0199,0.9222,1.065321664
WA,7614893,44.24202441,352.46,0.23,0.08,0.14,0.26,0.13,0.16,0.351234355,0.0422,0.1265,0.0912,0.0186,0.0078,0.0471,0.6667,3.544951058
WI,5822434,41.50935352,1515.82,0.23,0.09,0.11,0.26,0.14,0.17,0.365206342,0.0663,0.0683,0.0297,0.0119,0.001,0.0198,0.803,0.940817534
WV,1792147,28.7853483,162.16,0.21,0.08,0.11,0.25,0.15,0.2,0.493485253,0.0359,0.0169,0.008,0.003,0,0.0179,0.9182,0.210633949
WY,578759,2.301503161,13.19,0.24,0.08,0.12,0.24,0.14,0.17,0.363815505,0.0128,0.0997,0.0109,0.0267,0.001,0.0217,0.8272,1.043028273
