state_id,date,fips,Test MSE dummy,Test MSE cut,Test MSE dummy 2 policy,Test Avg dummy,Test Avg cut,Test Avg dummy 2 policy,"dummy, 2 policy, no reconstruct"
NJ,2020/4/8,34,0.005,0.0091,0.003,-0.0273,-0.2247,-0.0208,0.0031
UT,2020/4/10,49,0.0086,0.0028,0.0101,-0.0873,0.0334,-0.0944,0.0208
NY,2020/4/17,36,0.0064,0.248,0.0026,-0.0254,0.2244,-0.0161,0.0004
DC,2020/4/17,11,0.002,0.0033,0.0071,0.003,0.188,0.0305,0.0043
RI,2020/4/18,44,0.0065,0.0285,0.0028,-0.0441,-0.0812,-0.022,0.0017
MD,2020/4/18,24,0.0209,0.0653,0.0419,0.082,0.1128,0.1154,0.0393
CT,2020/4/20,9,0.0363,0.0038,0.0198,-0.0571,-0.0772,-0.0417,0.0207
AK,2020/4/24,2,0.0405,0.0395,0.0392,-0.1578,-0.2479,-0.1551,0.0345
MI,2020/4/27,26,0.0299,0.0419,0.0246,-0.0873,-0.4131,-0.0795,0.0173
DE,2020/4/28,10,0.028,0.0082,0.0265,-0.0874,-0.1422,-0.0849,0.0177
IL,2020/5/1,17,0.0006,0.0056,0.0021,0.0072,0.1192,0.0265,0.0026
ME,2020/5/1,23,0.0044,0.0277,0.0053,0.0118,0.294,-0.0115,0.0046
MA,2020/5/6,25,0.0211,0.0137,0.0142,-0.0426,-0.3635,-0.0351,0.0113
KY,2020/5/11,21,0.0174,0.0299,0.0171,-0.0944,-0.1507,-0.0935,0.0245
NM,2020/5/15,35,0.1368,0.0916,0.1431,-0.2907,-0.4135,-0.2971,0.1544
VA,2020/5/29,51,0.021,0.0939,0.0099,0.0981,0.2058,0.068,0.0108
CA,2020/6/18,6,0.0661,0.0482,0.0342,-0.1339,-0.0954,-0.0964,0.1119
NV,2020/6/26,32,0.0954,0.0721,0.0918,-0.1846,-0.3949,-0.1811,0.1131
NC,2020/6/26,37,0.082,0.8531,0.0816,-0.16,-0.0848,-0.1596,0.028
WA,2020/6/26,53,0.1028,0.0318,0.0756,-0.2141,-0.2406,-0.1845,0.085
OR,2020/7/1,41,0.1068,0.1457,0.1069,-0.265,-0.7695,-0.267,0.1485
PA,2020/7/1,42,0.0007,0.0388,0.0007,0.0138,-0.2587,0.013,0.0014
KS,2020/7/3,20,0.0572,0.0585,0.0513,0.0905,0.6068,0.0861,0.0596
TX,2020/7/3,48,0.0018,0.0025,0.0014,-0.017,-0.0692,-0.0147,0.0002
WV,2020/7/7,54,0.0249,0.0917,0.027,0.109,0.1405,0.1139,0.0175
AL,2020/7/16,1,0.0097,0.0306,0.0096,-0.0526,0.0078,-0.0524,0.0065
CO,2020/7/16,8,0.0054,0.0452,0.0063,0.0145,0.2391,0.0235,0.0055
AR,2020/7/20,5,0.0077,0.0033,0.0083,0.0454,0.0524,0.0481,0.0123
OH,2020/7/23,39,0.0038,0.0083,0.0022,-0.0226,-0.0832,-0.0046,0.0013
MN,2020/7/24,27,0.0045,0.0086,0.0058,-0.0543,0.172,-0.0626,0.0761
IN,2020/7/27,18,0.0163,0.0334,0.0174,-0.096,-0.2093,-0.0997,0.0197
WI,2020/8/1,55,0.0116,0.0139,0.0123,0.0559,0.0994,0.0592,0.0098
VT,2020/8/1,50,0.0084,0.0253,0.01,-0.0201,-0.3283,-0.0234,0.0105
MS,2020/8/5,28,0.0287,0.0227,0.0331,-0.1002,0.0451,-0.1077,0.0164